Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (otros)
2016,2,Salta,139208.0,7315.0
2016,2,San Juan,107299.0,5638.0
2016,2,San Luis,53178.0,2794.0
2016,2,Santa Cruz,44254.0,2325.0
2016,2,Santa Fe,741843.0,38981.0
2016,2,Santiago del Estero,66024.0,3469.0
2016,2,Tierra del Fuego,37976.0,1995.0
2016,2,Tucumán,210228.0,11047.0
2016,1,Buenos Aires,4872542.0,252249.0
2016,1,Capital Federal,1608800.0,83287.0
2016,1,Catamarca,38665.0,2002.0
2016,1,Chaco,102077.0,5284.0
2016,1,Chubut,122592.0,6347.0
2016,1,Córdoba,702744.0,36381.0
2016,1,Corrientes,102049.0,5283.0
2016,1,Entre Ríos,223126.0,11551.0
2016,1,Formosa,41139.0,2130.0
2016,1,Jujuy,56418.0,2921.0
2016,1,La Pampa,83364.0,4316.0
2016,1,La Rioja,37770.0,1955.0
2016,1,Mendoza,381118.0,19730.0
2016,1,Misiones,115189.0,5963.0
2016,1,Neuquén,101846.0,5273.0
2016,1,Río Negro,145598.0,7538.0
2016,1,Salta,139346.0,7214.0
2016,1,San Juan,114113.0,5908.0
2016,1,San Luis,53797.0,2785.0
2016,1,Santa Cruz,47233.0,2445.0
2016,1,Santa Fe,741856.0,38406.0
2016,1,Santiago del Estero,64481.0,3338.0
2016,1,Tierra del Fuego,38952.0,2017.0
2016,1,Tucumán,211561.0,10952.0
2015,4,Buenos Aires,4713888.0,262952.0
2015,4,Capital Federal,1572421.0,87713.0
2015,4,Catamarca,39268.0,2190.0
2015,4,Chaco,103362.0,5766.0
2015,4,Chubut,110994.0,6192.0
2015,4,Córdoba,721431.0,40243.0
2015,4,Corrientes,107615.0,6003.0
2015,4,Entre Ríos,228781.0,12762.0
2015,4,Formosa,41567.0,2319.0
2015,4,Jujuy,56957.0,3177.0
2015,4,La Pampa,79736.0,4448.0
2015,4,La Rioja,38574.0,2152.0
2015,4,Mendoza,361160.0,20146.0
2015,4,Misiones,111733.0,6233.0
2015,4,Neuquén,108302.0,6041.0
2015,4,Río Negro,135095.0,7536.0
2015,4,Salta,141131.0,7873.0
2015,4,San Juan,104387.0,5823.0
2015,4,San Luis,53012.0,2957.0
2015,4,Santa Cruz,52927.0,2952.0
2015,4,Santa Fe,758242.0,42297.0
2015,4,Santiago del Estero,68531.0,3823.0
2015,4,Tierra del Fuego,35528.0,1982.0
2015,4,Tucumán,213717.0,11922.0
2015,3,Buenos Aires,4713132.0,260299.0
2015,3,Capital Federal,1627395.0,89878.0
2015,3,Catamarca,39243.0,2167.0
2015,3,Chaco,107211.0,5921.0
2015,3,Chubut,110101.0,6081.0
2015,3,Córdoba,727761.0,40193.0
2015,3,Corrientes,110808.0,6120.0
2015,3,Entre Ríos,235242.0,12992.0
2015,3,Formosa,41803.0,2309.0
2015,3,Jujuy,56787.0,3136.0
2015,3,La Pampa,78651.0,4344.0
2015,3,La Rioja,38651.0,2135.0
2015,3,Mendoza,358373.0,19792.0
2015,3,Misiones,113211.0,6252.0
2015,3,Neuquén,98784.0,5456.0
2015,3,Río Negro,133855.0,7393.0
2015,3,Salta,141105.0,7793.0
2015,3,San Juan,103306.0,5705.0
2015,3,San Luis,53069.0,2931.0
2015,3,Santa Cruz,60005.0,3314.0
2015,3,Santa Fe,766859.0,42352.0
2015,3,Santiago del Estero,69165.0,3820.0
2015,3,Tierra del Fuego,35152.0,1941.0
2015,3,Tucumán,213481.0,11790.0
2015,2,Buenos Aires,4665956.0,262733.0
